Well,CellID,Frame,LineNum,Slope,Dist(microns),Duration(hrs),Speed(microns_per_hr),x1,x2,y1,y2
54,10,107,1,0.476260,20.418228,3.740146,5.459206,6.877215,38.289873,1.496350,16.456934
54,11,147,1,0.290559,32.644810,3.648175,8.948257,91.632278,41.409494,2.002190,16.594891
54,13,144,1,0.256592,22.713797,2.241606,10.132824,16.550000,51.494304,1.931387,10.897810
54,13,144,2,0.271909,23.242025,2.430657,9.562034,101.337342,65.580380,1.391241,11.113869
54,14,164,1,0.240655,79.987848,7.403650,10.803840,11.416456,134.474684,12.124088,41.738686
54,15,118,1,0.239586,20.405063,1.880292,10.852072,60.655696,29.263291,5.098540,12.619708
54,16,124,1,0.222944,25.196962,2.160584,11.662107,9.063291,47.827848,2.281022,10.923358
54,17,121,1,0.396664,17.577975,2.681752,6.554661,45.685443,18.642405,1.672263,12.399270
54,8,81,1,0.154600,66.902278,3.978102,16.817637,9.606329,112.532911,4.332117,20.244526
54,9,81,1,0.173366,26.447595,1.763504,14.997188,4.779747,45.468354,1.632847,8.686861
54,9,81,2,0.184909,26.931392,1.915328,14.060979,92.607595,51.174684,1.819708,9.481022
